CID,BBB,WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0006281,GO:0072593,GO:0098869
5280805,1,0,1,1,1,1,0,0,0,0
5280845,0,0,0,0,1,1,0,0,0,0
5280863,1,1,0,0,1,1,0,0,0,0
5280934,0,0,0,0,0,1,0,0,0,0
5281127,0,1,0,0,0,1,0,0,0,0
5281222,1,0,0,1,1,1,0,0,0,0
5281235,0,0,0,0,0,1,0,0,0,0
5281243,0,0,0,0,0,1,0,0,0,0
5281618,1,0,0,1,1,1,0,0,0,0
5281643,1,0,1,0,1,1,0,0,0,0
5281672,1,1,0,0,1,1,0,0,0,0
5281712,1,0,0,1,1,1,0,0,0,0
5281728,1,0,0,0,0,1,0,1,0,0
5281766,1,0,0,0,1,1,0,0,0,0
5282073,1,0,0,1,1,1,0,0,1,0
5282102,1,0,1,0,1,1,0,0,0,0
5282767,0,1,0,0,0,1,0,0,0,0
5284607,0,0,0,0,1,1,0,0,0,0
5287939,0,0,0,0,0,1,0,0,0,0
5311498,1,0,1,0,0,1,0,0,0,0
5316673,1,0,1,0,1,1,0,0,0,0
5318645,1,0,1,1,1,1,0,0,0,0
5318767,1,0,1,1,1,1,0,0,0,0
5321278,1,0,1,0,1,1,0,0,0,0
5490064,1,0,1,0,1,1,0,0,0,0
5748352,0,0,0,0,0,1,0,0,0,0
6419725,0,0,0,0,0,1,0,0,0,0
6429333,0,0,1,0,1,1,0,0,1,0
6436907,0,0,0,0,0,1,0,0,0,0
6441280,1,0,0,0,1,1,0,0,0,0
6857447,0,0,0,0,0,1,0,0,0,0
10095180,1,0,1,0,1,1,0,0,0,0
10372299,0,0,0,0,0,1,0,0,0,0
11249520,1,0,0,0,1,1,0,0,0,0
11250133,1,0,0,0,0,1,0,1,0,0
12303220,1,0,0,0,1,1,0,1,0,0
13751990,1,0,0,0,0,1,0,1,0,0
13831068,1,0,0,0,0,1,0,1,0,0
13990893,1,0,0,0,0,1,0,1,0,0
14311152,1,0,0,0,1,1,0,0,0,0
14353459,1,0,1,1,1,1,0,0,0,0
15385440,1,0,0,0,1,1,0,0,0,0
15714477,1,0,0,0,1,1,0,0,0,0
16131430,1,0,0,0,0,1,0,1,0,0
21674154,1,0,0,1,1,1,0,1,0,0
44256932,1,0,0,1,0,1,0,0,0,0
44256961,1,0,0,0,1,1,0,0,0,0
44257035,1,0,0,1,1,1,0,1,0,0
45109789,1,0,0,0,0,1,0,0,0,0
53477794,0,0,0,0,0,1,0,0,0,0
53477891,0,0,0,0,0,1,0,0,0,0
54682930,0,0,0,0,1,1,0,0,0,0
57397583,1,0,1,1,1,1,0,0,0,0
72193652,1,0,0,0,1,1,0,0,0,0
72551457,1,0,0,0,1,1,0,0,1,0
74977116,1,0,0,0,1,1,0,0,0,0
75228679,0,0,0,0,0,0,0,0,0,0
101422354,1,0,1,1,1,1,0,0,0,0
101746085,1,0,1,1,1,1,0,0,0,0
102157736,1,0,1,1,1,1,0,0,0,0
102470786,1,0,1,1,1,1,0,0,0,0
117842555,1,0,0,0,1,1,0,0,1,0
131752138,1,0,0,0,1,1,0,0,0,0
131752272,1,0,0,0,1,1,0,0,0,0
131752297,1,0,0,1,1,1,0,0,0,0
135398658,1,0,1,0,0,1,0,0,0,1
135413566,1,0,0,0,0,1,0,0,0,0
156614133,1,0,0,1,0,1,0,0,0,0
157009725,1,0,0,0,1,1,0,0,0,0
157009726,1,0,0,0,1,1,0,0,0,0
157009736,1,0,0,1,1,1,0,0,0,0
157009738,1,0,0,0,0,1,0,0,1,0
157010024,1,0,0,1,1,1,0,0,0,0
