WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0016209,GO:0098869,GO:0072593,GO:0006281,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,FractionCSP3,NumAromaticRings,MaxPartialCharge,MinPartialCharge,NumNitrogen,NumOxygen
1,0,0,0,0,0,1,0,0,0,266.06914218000003,2.2882999999999996,83.05,2,3,2,0.0,3,0.3359339067078195,-0.4776218889411073,2,3
1,0,0,0,0,0,1,0,0,0,313.10625595999994,2.64872,97.33,2,5,4,0.1875,3,0.33753747197517975,-0.49673967150127035,3,4
1,0,0,0,0,0,0,0,0,0,435.1430353919999,4.0245000000000015,115.79,2,7,7,0.17391304347826086,4,0.33609867209259303,-0.49676780293434003,3,6
1,0,0,0,0,0,0,0,0,0,386.07818263999997,2.5856000000000003,108.67,2,7,3,0.2222222222222222,3,0.3540634645945744,-0.5079428928960847,4,4
1,0,0,0,0,0,0,0,0,0,366.13280505599994,2.2406199999999994,108.67,2,7,3,0.2631578947368421,3,0.354018169900271,-0.5079428928961296,4,4
1,0,0,0,0,0,0,0,0,0,478.16410518399994,4.752400000000003,108.67,2,7,4,0.14285714285714285,5,0.3540308828824964,-0.5079428928961175,4,4
1,0,0,0,0,0,0,0,0,0,448.08528348399994,1.4748,142.81,2,9,4,0.2631578947368421,3,0.3540534422857393,-0.5072460485341164,4,6
1,0,0,0,0,0,0,0,0,0,370.08326802,2.880000000000001,88.44000000000001,1,6,3,0.2222222222222222,3,0.3540634645944076,-0.47650847518582334,4,3
1,0,0,0,0,0,0,0,0,0,454.108420148,7.349220000000005,75.21000000000001,2,3,5,0.037037037037037035,5,0.33559054629177065,-0.47763039568921656,2,3
1,0,0,0,0,0,0,0,0,0,448.08528348399994,1.4748,142.81,2,9,4,0.2631578947368421,3,0.35405344228574775,-0.504320269579774,4,6
1,0,0,0,0,0,1,0,0,0,244.084792244,1.8820999999999999,75.21,2,3,2,0.23076923076923078,2,0.35370996649209446,-0.49675719281975766,2,3
1,0,0,0,0,0,1,0,0,0,333.07251121999997,3.211900000000001,67.49000000000001,1,4,1,0.1875,3,0.43334162913991026,-0.47645901181032896,3,2
1,0,0,0,0,0,0,0,0,0,395.15935415199993,1.9981999999999998,111.91000000000001,2,8,4,0.3,3,0.354088653234232,-0.5072496970533041,5,4
1,0,0,0,0,0,0,0,0,0,431.10366911600005,6.173920000000004,80.13999999999999,2,4,4,0.08333333333333333,5,0.33559054629177065,-0.47763039568921656,3,3
1,0,0,0,0,0,0,0,0,0,418.1753385639999,2.7739000000000003,107.47000000000001,2,7,4,0.2727272727272727,4,0.3540886531564957,-0.476508164047102,6,3
1,0,0,0,0,0,0,0,0,0,404.1596884999999,2.7496,116.26,3,7,4,0.23809523809523808,4,0.3540885305821225,-0.4765081647211611,6,3
1,0,0,0,0,0,0,0,0,0,381.14370408799994,1.9738999999999993,120.7,3,8,4,0.2631578947368421,3,0.3540885305678938,-0.5079428928960564,5,4
1,0,0,0,0,0,0,0,0,0,458.1590198039999,3.607800000000002,117.90000000000002,2,8,5,0.2,4,0.3540308992292457,-0.5079428928961175,4,5
1,0,0,0,0,0,0,0,0,0,514.163453552,1.0137999999999998,149.29,2,10,5,0.391304347826087,3,0.354088656078446,-0.5079428928960564,6,6
1,0,0,0,0,0,0,0,0,0,413.1499323399999,2.1372999999999993,111.91000000000001,2,8,4,0.3,3,0.3540886532342322,-0.5071391978107053,5,4
