SMILES,WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0016209,GO:0098869,GO:0072593,GO:0006281
COCCOC1=CC(=NC2=C1N=C(N=C2C3=CC(=CC=C3)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C[C@@H](C1CC1)N2CC3=C(C2=O)C(=CC(=C3)C4=NC5=C(C=NN5C=C4)C6=CC(=C(C=C6)C(=O)O)C(C)C)C(F)(F)F,1,0,0,0,0,0,0,0,0,0
CN(C)CCN(C)C1=CC(=NC2=C1N=C(N=C2C3=C4C=CNC4=CC=C3)N5CCOCC5)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCO)C1=CC(=NC2=C1N=C(N=C2C3=C4C=CNC4=CC=C3)N5CCOCC5)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC=CC=C3,1,0,0,0,0,0,0,0,0,0
C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C(=CC(=N4)C(=O)O)C5=CC=NN5)C6=CC=CC=C6)N,1,0,0,0,0,0,1,1,0,0
c1ccc2c(c1)nc1n2c(=O)c2cccc3c(ccc1c23)C(=O)O,1,0,0,0,0,0,1,0,0,0
CC(C)(C)c1cc(C(O)=O)c(NC(=O)Nc2ccc3[nH]ncc3c2)s1,1,1,0,0,0,0,1,0,0,0
CCN1C=C(C(=N1)C)C2=NC3=CC(=NN3C(=C2)C(F)(F)F)C(=O)O,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=NC3=C(C(=N2)C4=C(C(=CC=C4)F)O)N=C(C=C3NCCO)C(=O)O,1,0,0,0,0,0,0,0,0,0
CC1=C(C=CC(=C1)O)C2=NC(=NC3=C2N=C(C=C3N(C)CCO)C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
CN(CCO)C1=CC(=NC2=C1N=C(N=C2C3=C(C=C(C=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1COCCN1C2=NC3=C(C(=N2)C4=CC=C(C=C4)O)N=C(C=C3NCCO)C(=O)O,1,0,0,0,0,0,0,0,0,0
CC1=C(C=CC2=C1N=C(C=C2C(=O)O)C3=CN=CC=C3)Cl,1,0,0,0,0,0,1,0,0,0
COC1=CC=CC(=C1)C2=NC(=NC3=C2N=C(C=C3Cl)C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=C4C=CNC4=CC=C3)N5CCOCC5)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(C)CCN(C)C1=CC(=NC2=C1N=C(N=C2C3=C(C=CC(=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COC1=CC(=CC(=C1)C2=NC3=CC=CC=C3C(=O)O2)OC,1,0,0,0,0,0,1,0,0,0
COCCOC1=CC(=NC2=C1N=C(N=C2C3=CC=C(C=C3)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCO)C1=CC(=NC2=C1N=C(N=C2C3=C(C(=CC=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC(=CC=C3)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=C(C=C(C=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CCCC1=CC(=O)NC(=N1)SCC(=O)N,1,0,0,0,0,0,1,0,0,0
C1CN(C2=CC=CC(=C21)C3=CC=CC=C3)C(=O)CC4=NC(=CC(=O)N4)N5CCOCC5,1,0,0,0,0,0,1,0,0,0
CN(C)C1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=C(C=C(C=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=C(C=CC(=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,1,0,0,0,0,0,1,0,0,0
CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
CC1=CN2C(=O)C=C(N=C2C(=C1)[C@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
CN(C)C1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)C#N)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=O)O2)OC,1,0,0,0,0,0,1,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=C(C(=CC=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1COCCN1C2=NC3=C(C(=N2)C4=CC=C(C=C4)O)N=C(C=C3)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C(=CC(=N4)C(=O)N)C(=O)N)C5=CC=CC=C5)N,1,0,0,0,0,0,1,1,0,0
C1COCCN1C2=NC3=C(C(=N2)C4=CC(=CC(=C4)F)O)N=C(C=C3NCCO)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1COCCN1C2=NC3=C(C(=N2)C4=CC=CC(=C4)CO)N=C(C=C3NCCO)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(C)C1=CC(=NC2=C1N=C(N=C2C3=CC(=C(C=C3)F)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=CC=C(C=C3)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CC1=CC(=CC2=C1C(=O)N(C2)[C@@H](C)C3CC3)C4=NC5=C(C(=NN5C=C4)N)C6=CC(=C(C=C6)C(=O)O)C,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=C(C(=CC=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Br)C(=O)/C=C/C4=NC5=CC=CC=C5N4,1,0,0,1,0,0,1,1,0,0
C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)/C=C/C4=NC5=CC=CC=C5N4,1,0,0,1,0,0,1,1,0,0
CC1=CC2=C(C=C1)NC(=O)C(=C2C3=CC=CC=C3)C(=O)/C=C/C4=NC5=CC=CC=C5N4,1,0,0,1,0,0,1,1,0,0
COC1=CC=CC(=C1)C2=NC(=NC3=C2N=C(C=C3)C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
O=C(/C=C/c1nc(cccc2)c2[nH]1)C1=C(c2ccccc2)c(cc(cc2)Cl)c2NC1=O,1,0,0,1,0,0,1,0,0,0
CN(C)C1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)COC)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC(=CC(=C3)F)F)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC=C(C=C3)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COCCOC1=CC(=NC2=C1N=C(N=C2C3=CC(=CC(=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC4=C(C=C3)NC=C4)N5CCOCC5)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1CNC(=O)C2=C1NC(=C2)C3=CC=NC=C3,1,1,0,0,0,0,1,1,0,0
